Fouch_upper-mantle_SKS_splitting-2004.dat
Station Latitude Longitude     phi      dt  10.0
TAM      22.7910    5.5270      -6    0.87  10.0
WFM      42.6110  -71.4910      98    1.12  10.0
WUS      41.1990   79.2180      35    0.86  10.0
KIEV     50.7000   29.2000     110    0.80  10.0
KOV      48.3000   25.0000     130    1.30  10.0
LVV      49.8000   24.0000     145    0.70  10.0
SEV      44.5000   33.7000     125    0.70  10.0
SIM      45.0000   34.1000     125    0.60  10.0
UZH      48.6000   22.3000     135    1.50  10.0
YAL      44.4000   34.2000     135    0.40  10.0
B11      51.6470  -89.9080      89    1.50  10.0
B12      52.0500  -90.0160      88    1.40  10.0
B13      52.4110  -90.5080      88    1.10  10.0
B14      52.5680  -90.4440      82    2.10  10.0
BBT      53.8430  -89.8780     107    1.80  10.0
BFS      55.9870  -87.6520       0    0.00  10.0
BPW      54.9880  -85.4530       0    0.00  10.0
5010     48.3170  -90.7140      60    1.10  10.0
5030     48.6620  -90.8290      58    1.40  10.0
5050     49.0030  -90.7590      61    1.30  10.0
5070     49.3400  -90.4700      35    1.40  10.0
5090     49.6650  -90.3340      56    1.30  10.0
5110     50.0170  -90.5870      55    1.60  10.0
5130     50.3590  -90.6730      68    1.70  10.0
5150     50.6950  -90.5550      57    1.10  10.0
5170     51.0320  -90.3510      74    1.50  10.0
5190     51.3530  -90.2220      68    2.10  10.0
AFIF     23.9310   43.0400     -12    1.50  10.0
HALM     22.8454   44.3173       2    1.10  10.0
RANI     21.3116   42.7761       2    1.50  10.0
RAYN     23.5220   45.5008       4    1.00  10.0
RIYD     24.7220   46.6643      15    0.50  10.0
SODA     18.2921   42.3769     -11    1.40  10.0
TAIF     21.2810   40.3490       4    1.30  10.0
UQSK     25.7890   42.3600      -4    1.50  10.0
BRG      50.8750   13.9470     101    0.30  10.0
BRNL     52.4280   13.3580     119    0.68  10.0
BSD      55.1100   14.9100      15    0.50  10.0
BSEG     53.9400   10.3200      86    0.50  10.0
BUG      51.4450    7.2640      92    0.63  10.0
CLZ      51.8429   10.3740      90    0.60  10.0
CZA      53.2100   17.0940     122    0.50  10.0
DPC      50.3600   16.4100     122    0.80  10.0
HGN      50.7640    5.9320      40    0.30  10.0
HLG      54.1840    7.8840     104    0.90  10.0
IBBN     52.3070    7.7570      69    0.77  10.0
KONO     59.6490    9.5980      30    0.85  10.0
LEN      53.0900   11.4790     105    1.07  10.0
MORC     49.7760   17.5460     129    0.83  10.0
MOX      50.6460   11.6160      79    1.30  10.0
OLDS     56.6190   16.4990     116    0.78  10.0
RGN      54.5480   13.3210      43    0.70  10.0
RUE      52.4770   13.7790      97    0.68  10.0
T0BG     52.9580   12.0340     107    0.70  10.0
T14S     56.2600   13.6230     122    0.63  10.0
T18S     56.5200   13.5650     119    0.63  10.0
T1BD     55.8630   12.2400     104    1.10  10.0
T1BG     54.0730   10.4570     101    0.50  10.0
T2BD     55.7030   11.5500     104    1.17  10.0
T2BG     54.2170   10.0670      83    1.30  10.0
T30S     57.0960   13.9470     126    0.63  10.0
T3BD     55.5360   12.0780     104    0.90  10.0
T3BG     54.3280   10.5470      83    1.00  10.0
T40S     57.5820   15.0390     102    0.50  10.0
T4BD     55.2190   11.5950     109    0.40  10.0
T4BG     53.1370    9.8020      62    0.60  10.0
T5BD     54.8860   11.8150      94    0.30  10.0
T5BG     53.1900    9.3370      90    0.60  10.0
T60S     58.7580   15.9440      92    0.33  10.0
T6BD     54.8870   11.2540     144    1.10  10.0
T6BG     53.3800    9.5940      88    0.37  10.0
T7BD     56.4560    9.1670      47    0.80  10.0
T7BG     52.2580    8.5560      89    0.98  10.0
T897     58.3800   12.5090      25    0.60  10.0
T8BG     53.8500   12.9050      88    0.60  10.0
T9BG     52.7240   11.4800     113    0.55  10.0
TBBG     52.8700   13.6330      85    0.60  10.0
COL      64.4110  115.1000      50    1.10  10.0
COP      67.8270  115.0900      70    0.40  10.0
DIS      63.1880  113.8900      41    0.80  10.0
FPR      61.0500  117.4400      64    1.10  10.0
FRS      61.1750  113.6800      59    1.20  10.0
GLK      65.9200  107.4600      71    0.80  10.0
KAR      66.0290  111.4700      66    0.70  10.0
KEN      63.4360  109.2100      65    0.80  10.0
KOA      64.6920  110.6300      43    1.00  10.0
LKS      62.4060  110.7400      65    1.20  10.0
LOC      63.6110  112.1200       0    0.00  10.0
SNR      63.5080  116.0100      40    1.50  10.0
ULU      66.8950  111.0000      80    0.80  10.0
YKW      62.4930  114.5100      56    0.80  10.0
AAM      42.3000  -83.6560      79    1.00  10.0
DLBC     58.4370 -130.0300      28    1.15  10.0
GWDE     38.8256  -75.6171     108    0.75  10.0
HKT      29.9618  -95.8384      62    1.54  10.0
IMQ      47.5480  -70.3270      97    1.10  10.0
PACK     43.5400  -73.8200      79    1.30  10.0
PAL      41.0057  -73.9071      86    1.35  10.0
PLAL     34.9820  -88.0750     170    1.35  10.0
SADO     44.7690  -79.1420     124    0.75  10.0
SCH      54.8319  -66.8336      49    0.80  10.0
SCHG     54.8319  -66.8336      49    0.80  10.0
ULM      50.2500  -95.8750      53    1.40  10.0
CCM      38.0000  -91.3000      39    0.90  10.0
HRV      42.5100  -71.5600      89    0.65  10.0
MM01     42.3200  -72.7100      86    1.00  10.0
MM02     42.1700  -73.7200      85    0.95  10.0
MM03     42.0400  -74.8500     104    0.65  10.0
MM04     41.8500  -76.2000      96    0.65  10.0
MM05     41.6500  -76.9200     104    0.45  10.0
MM06     41.3900  -78.1300     100    0.55  10.0
MM07     41.2600  -79.1400      70    0.80  10.0
MM08     41.1100  -80.0700      66    0.75  10.0
MM09     40.7900  -81.2100      50    0.60  10.0
MM10     40.6100  -82.3000      70    0.85  10.0
MM11     40.2200  -83.1900      58    0.95  10.0
MM12     40.0400  -84.3700      70    0.80  10.0
MM13     39.8300  -85.3100      63    1.75  10.0
MM14     39.5500  -86.3900      53    0.95  10.0
MM15     39.2900  -87.3100      60    0.90  10.0
MM16     38.9200  -88.3000      61    0.80  10.0
MM17     38.6700  -89.3300      60    0.90  10.0
MM18     38.5300  -90.5700      57    1.05  10.0
SCCC     41.7600  -74.6700      86    0.55  10.0
UCON     41.7900  -72.2300      74    2.15  10.0
VASR     41.6700  -73.9000      89    0.90  10.0
WICK     42.4500  -74.9300      74    0.75  10.0
WIND     42.3300  -74.2700      84    0.70  10.0
CMB      38.0350 -120.3850      78    1.73  10.0
MIN      40.3450 -121.6100      49    0.84  10.0
ORV      39.5560 -121.5000     109    0.88  10.0
WDC      40.5800 -122.5400      72    1.01  10.0
BLUE     43.8900  -74.4500      58    0.86  10.0
KEEN     44.2600  -73.8200      67    0.73  10.0
PACK     43.5400  -73.8200      76    0.94  10.0
ST09    -19.1480  -64.6428     -79    1.05  10.0
ST10    -19.4857  -64.1780     -71    0.85  10.0
ST11    -19.8115  -63.7211     -75    0.70  10.0
ST12    -20.2551  -63.1582      85    0.85  10.0
ST13    -19.4522  -62.3725      82    0.80  10.0
ST14    -19.2972  -60.6169      81    1.40  10.0
ALQN     45.7390  -78.1888     100    0.45  10.0
BELL     48.0968  -78.9425     110    0.70  10.0
BISC     46.0272  -78.2407     110    0.70  10.0
CARO     47.9152  -78.9796     109    0.75  10.0
CHAZ     48.8322  -79.0522     120    0.50  10.0
DEND     49.7968  -79.0088      76    0.90  10.0
DEST     48.4604  -78.9884      80    0.55  10.0
KAPU     48.1282  -82.9055      49    1.05  10.0
KM44     49.4345  -78.9993      79    0.35  10.0
LDUF     48.3198  -78.9380      94    0.55  10.0
LLAK     48.1000  -79.8000      65    0.65  10.0
MADW     45.5296  -78.0041      97    0.40  10.0
NNNN     49.2909  -79.1569      88    0.25  10.0
PAPL     45.3191  -77.8090      77    0.55  10.0
POP1     47.8103  -79.1750     109    0.55  10.0
POP1     46.2904  -78.2921      83    0.40  10.0
POP2     47.5930  -79.2206     114    0.45  10.0
POP3     47.4549  -79.1800     115    0.45  10.0
POP4     47.2557  -79.1194      91    0.35  10.0
POP5     47.1192  -78.9070      89    0.45  10.0
POP6     46.9490  -78.8211      77    0.40  10.0
POP7     46.8097  -78.6010      86    0.50  10.0
POP8     46.6243  -78.5784     101    0.75  10.0
POP9     46.4676  -78.4039     112    1.00  10.0
POUL     48.6328  -79.0426     104    0.40  10.0
VBOI     49.1041  -79.1440     134    0.55  10.0
VSG4     49.6274  -79.0005      77    0.65  10.0
VSGL     49.0116  -79.1093      53    0.65  10.0
BMN      40.4315 -117.2218      88    0.62  10.0
BMNn     40.4315 -117.2218      84    1.05  10.0
CBKS     38.8140  -99.7374      46    0.45  10.0
CYF      37.5542 -109.8658     -11    0.82  10.0
DUG      40.1950 -112.8133     -14    1.47  10.0
GAR      38.8808 -114.1020      -8    0.92  10.0
GOL      39.7003 -105.3711     -14    1.65  10.0
LMP      37.9783 -111.1960      19    1.00  10.0
MDW      38.8928 -112.3574     -11    1.17  10.0
NWC      37.6332 -113.5566      53    0.60  10.0
PHR      37.6439 -114.9890      52    1.00  10.0
RTS      39.6681 -115.7900     -53    0.33  10.0
SRS      38.9127 -110.6016     -86    0.48  10.0
TUC      32.3096 -110.7846      -1    1.15  10.0
WCP      40.5242 -114.1670     -18    0.96  10.0
WHR      40.0367 -118.3612      78    0.99  10.0
WMOK     34.7379  -98.7810     -54    0.65  10.0
BOSA    -28.6100   25.2600      54    0.45  10.0
LBTB    -25.0200   25.6000      80    0.45  10.0
SA04    -32.8500   19.6200       8    0.00  10.0
SA05    -32.6000   21.5300      12    0.00  10.0
SA07    -31.9800   20.2300      80    0.00  10.0
SA09    -30.9200   22.9900      21    0.50  10.0
SA10    -30.9700   23.9100     -42    0.45  10.0
SA11    -29.9700   20.9500     -28    0.00  10.0
SA12    -29.8500   22.2500     -29    0.00  10.0
SA13    -29.9800   23.1400      26    0.70  10.0
SA14    -29.8700   24.0200      24    0.85  10.0
SA15    -29.9000   25.0300      20    0.70  10.0
SA16    -28.9500   22.2000     -76    0.00  10.0
SA17    -28.9300   23.2300      49    0.60  10.0
SA18    -28.6300   24.3100      48    0.75  10.0
SA19    -28.9100   24.8300      29    0.65  10.0
SA20    -29.0200   26.2000      20    0.40  10.0
SA22    -27.9700   22.0100       4    0.00  10.0
SA23    -27.9300   23.4000      37    0.50  10.0
SA24    -27.8800   24.2400      48    0.70  10.0
SA25    -27.8500   25.1300      58    0.70  10.0
SA26    -27.5500   26.1800      48    0.40  10.0
SA27    -27.8600   27.2900       2    0.00  10.0
SA28    -27.9000   28.0700     -67    0.35  10.0
SA29    -26.9300   23.0300      52    0.95  10.0
SA30    -27.0700   24.1700      48    0.55  10.0
SA31    -27.0000   25.0200      41    0.70  10.0
SA32    -26.8700   26.2800      47    0.60  10.0
SA33    -26.9000   27.1800      65    0.40  10.0
SA34    -26.8100   28.1000      49    0.35  10.0
SA35    -27.0200   29.0900      -2    0.00  10.0
SA36    -26.8800   30.1200      -9    0.00  10.0
SA37    -25.9700   23.7200      44    0.70  10.0
SA38    -25.9300   25.0800      47    0.35  10.0
SA39    -25.9000   26.1500      47    0.80  10.0
SA40    -25.9000   27.1500      61    0.35  10.0
SA42    -25.6700   29.2200      77    0.00  10.0
SA43    -25.7900   30.0700      63    0.00  10.0
SA44    -26.0300   30.9000      69    0.00  10.0
SA45    -24.8800   26.1600      82    0.00  10.0
SA46    -24.8400   27.1100      80    0.00  10.0
SA47    -24.8500   28.1600      32    0.00  10.0
SA48    -24.8900   29.2200      71    0.45  10.0
SA49    -24.9600   30.3100      75    0.75  10.0
SA50    -23.8700   27.1700      49    0.65  10.0
SA51    -23.8600   28.1600      63    0.50  10.0
SA53    -24.1100   29.3300      74    0.95  10.0
SA54    -23.7300   30.6700      74    0.70  10.0
SA55    -22.9800   28.3000      65    0.60  10.0
SA56    -23.0100   29.0700      75    0.60  10.0
SA57    -22.9800   30.0200      85    0.40  10.0
SA58    -23.5200   31.4000      26    0.55  10.0
SA59    -24.8400   24.4600      61    0.70  10.0
SA60    -23.8500   24.9600      58    0.85  10.0
SA61    -23.9500   24.0200      54    0.55  10.0
SA62    -24.8500   25.1400      69    0.60  10.0
SA63    -23.6600   26.0800      60    0.60  10.0
SA64    -22.9700   26.2000      50    0.40  10.0
SA65    -22.8200   27.2200      63    0.60  10.0
SA66    -21.9000   26.3700      63    1.00  10.0
SA67    -21.8900   27.2700      53    0.60  10.0
SA68    -21.9500   28.1900      41    0.40  10.0
SA70    -21.0900   26.3400      57    0.95  10.0
SA71    -20.9300   27.1400      51    0.75  10.0
SA72    -20.1400   28.6100      39    0.95  10.0
SA73    -21.8500   30.2800     -82    0.00  10.0
SA74    -21.9200   30.9400      85    0.50  10.0
SA75    -20.8600   29.0000      16    0.70  10.0
SA76    -20.6400   29.8500      21    0.60  10.0
SA77    -20.7600   30.9200     -34    0.45  10.0
SA78    -19.4700   30.7700       8    0.80  10.0
SA79    -20.0200   30.5200      23    0.85  10.0
SA80    -19.9600   31.3200      67    0.00  10.0
SA81    -30.9300   21.2700      56    0.50  10.0
SA82    -30.9800   22.2500      83    0.00  10.0
SA91    -25.8500   26.2700      42    1.00  10.0
SA92    -22.8800   28.3400      70    0.70  10.0
SA93    -22.2600   29.2100      76    0.50  10.0
SURA    -32.3800   20.8100      55    0.00  10.0
H2O      27.8819 -141.9917      51    1.10  10.0
CZA      53.2293   17.0963     102    0.67  10.0
KSP      50.8428   16.2931     105    0.75  10.0
KWP      49.6314   22.7075      99    0.82  10.0
SUW      54.0125   23.1808      98    0.71  10.0
WAR      52.2417   21.0236     116    0.82  10.0
ALB      43.8950    2.4560      88    1.45  10.0
ARBF     43.4920    5.3330      95    1.31  10.0
BLRC     44.2860    3.7670     133    0.78  10.0
BOPU     42.8700    2.8760     112    1.58  10.0
CFF      45.7620    3.1020     142    1.79  10.0
CLR      43.8820    3.3230     138    0.89  10.0
CNG      44.4000    3.2260     137    1.03  10.0
COU      43.4790    2.7230     141    0.95  10.0
DIO      43.9310    4.2990     116    1.34  10.0
ENS      43.3100    3.1100     111    0.96  10.0
GUZ      43.7410    3.9350     106    1.16  10.0
LUC      44.6560    3.8900      74    1.54  10.0
MIR      44.1440    2.1720     129    1.22  10.0
MMJ      43.7060    4.6640     110    0.70  10.0
PDS      44.3220    2.7240     131    1.02  10.0
RAB      43.8300    1.7160      82    0.78  10.0
RMZ      44.4000    4.4960     121    0.72  10.0
SAI      43.3620    2.1720      16    1.26  10.0
ST08     45.3590    2.8010     122    0.90  10.0
ST09     44.8600    3.8330     145    1.15  10.0
ST11     44.7810    2.1260     116    1.10  10.0
NVS      54.9000   83.3000       0    1.40  10.0
ELT      53.2000   86.3000      90    1.40  10.0
USK      50.9000   84.8000     160    1.00  10.0
TDZ      52.4000   96.1000     120    1.10  10.0
TEL      51.0000   90.2000     100    1.20  10.0
ERN      50.3000   95.2000     120    2.30  10.0
AKT      50.3000   87.6000      95    2.50  10.0
VEN      53.3000   90.3000     110    0.90  10.0
ELEF    -61.1700  -55.1000      90    2.05  10.0
HOPE    -54.2800  -36.4800      49    0.60  10.0
EFI     -51.4800  -58.4100      70    1.20  10.0
PMSA    -64.7700  -64.0500      79    1.85  10.0
NRIL     69.5049   88.4414     157    1.23  10.0
TIXI     71.6490  128.8665     139    2.99  10.0
YAK      62.0308  129.6812     146    1.24  10.0
AIK      65.9500  111.4800     139    1.10  10.0
ARY      62.3900  114.3600     151    0.90  10.0
CHRN     63.0100  112.4500     150    1.20  10.0
PAS      34.1480 -118.1720      77    0.97  10.0
PFO      33.6090 -116.4550      83    1.04  10.0
GSC      35.3030 -116.8080      82    0.83  10.0
AZ45     36.4552 -109.0824      23    0.90  10.0
AZ46     36.5513 -109.2294      27    1.00  10.0
AZ47     36.6360 -109.3332      39    0.90  10.0
AZ48     36.7606 -109.5393      30    0.90  10.0
AZ49     36.8869 -109.6913      32    1.20  10.0
AZ50     36.9777 -109.8637      47    1.10  10.0
MB01     33.3363 -106.0339      41    1.00  10.0
MB04     34.0738 -106.9201      47    1.80  10.0
MB05     34.6636 -108.0114      56    1.50  10.0
NM07     32.0845 -103.8400      19    1.20  10.0
NM08     32.1991 -103.9721       5    0.60  10.0
NM09     32.3265 -104.1183      27    1.20  10.0
NM10     32.4729 -104.2672      35    1.10  10.0
NM11     32.5836 -104.4085      40    1.30  10.0
NM12     32.6829 -104.5083      24    0.90  10.0
NM13     32.8028 -104.6548      16    0.80  10.0
NM14     32.9068 -104.7594      35    1.00  10.0
NM15     33.0144 -104.9094      44    1.30  10.0
NM16     33.1741 -105.1267      42    1.10  10.0
NM17     33.2566 -105.1734      42    1.10  10.0
NM18     33.4030 -105.3410      25    1.30  10.0
NM19     33.4913 -105.4554      35    0.90  10.0
NM20     33.6048 -105.5935      30    1.40  10.0
NM22     33.8404 -105.8689      44    1.40  10.0
NM23     33.9503 -106.0124      34    1.50  10.0
NM24     34.0469 -106.1196      62    1.40  10.0
NM25     34.1669 -106.2605      58    1.20  10.0
NM26     34.2633 -106.3633      41    1.10  10.0
NM27     34.3856 -106.5239      48    1.60  10.0
NM30     34.7428 -106.9736      52    1.50  10.0
NM31     34.8491 -107.0976      43    1.30  10.0
NM32     34.9807 -107.2643      41    1.20  10.0
NM33     35.1107 -107.4229      38    1.30  10.0
NM34     35.2688 -107.6432      44    1.40  10.0
NM35     35.3448 -107.7070      43    1.20  10.0
NM36     35.4453 -107.8225      50    1.20  10.0
NM37     35.5775 -108.0017      55    1.10  10.0
NM38     35.7023 -108.1629      34    1.70  10.0
NM39     35.7926 -108.2673      39    1.70  10.0
NM40     35.9451 -108.4290      33    1.10  10.0
NM41     36.0353 -108.5703      29    0.70  10.0
NM42     36.1485 -108.7171      26    0.80  10.0
NM43     36.2496 -108.8871      15    1.00  10.0
NM44     36.4214 -108.9583      29    0.80  10.0
TX01     31.4232 -103.1054       8    0.70  10.0
TX02     31.5133 -103.2038      12    0.70  10.0
TX03     31.6232 -103.3236      10    1.00  10.0
TX04     31.7338 -103.4457       0    1.20  10.0
TX05     31.8784 -103.6074      15    1.40  10.0
TX06     31.9671 -103.7068      18    1.20  10.0
UT51     37.0732 -109.9961      50    1.10  10.0
UT52     37.2348 -110.1313      50    1.10  10.0
UT53     37.3458 -110.3311      53    1.50  10.0
UT54     37.4187 -110.5052      71    1.30  10.0
VSL      39.4960    9.3780      26    2.13  10.0
NAP0     42.7020    9.3610      -5    1.30  10.0
NAP1     42.7860   10.3810       0    1.48  10.0
NAP2     42.9050   10.9120       2    1.77  10.0
NAP3     42.9300   11.2230     -64    2.10  10.0
NAP4     43.0360   11.6130      -4    1.25  10.0
NAP5     43.1200   12.0570     -37    2.40  10.0
NAP6     43.1750   12.3840     -31    1.35  10.0
NAP7     43.3370   12.7470      -7    1.85  10.0
NAP8     43.3810   13.1650      -3    2.50  10.0
CA00     42.1980   11.9200      72    2.80  10.0
CA01     42.1570   12.2670      58    1.43  10.0
CA02     42.2040   12.5660      19    0.82  10.0
CA03     42.1390   12.7920      -6    2.10  10.0
CA05     42.1420   13.1030      34    1.63  10.0
VENT     40.7950   13.4220     -25    1.27  10.0
SALI     38.5640   14.8330       0    1.78  10.0
USTI     38.7080   13.1790      40    2.00  10.0
RAYN     23.5225   45.5032       5    1.31  10.0
BGCA      5.1763   18.4242      14    0.82  10.0
OGSI     46.0340    6.7540      -9    2.25  10.0
OGGM     45.2040    6.1160     -31    1.69  10.0
OGAG     44.7880    6.5410     -48    1.33  10.0
OGDI     44.1100    6.2170     101    1.12  10.0
STET     44.2590    6.9290     -58    1.26  10.0
RUSF     43.9430    5.3190     103    1.45  10.0
SAOF     43.9860    7.5530     -86    1.33  10.0
CALF     43.7530    6.9220     -75    1.21  10.0
ARBF     43.4920    5.3330     -81    1.33  10.0
SMPL     42.0940    9.2850     -86    1.47  10.0
AIS     -37.7970   77.5690      46    0.63  10.0
ASCN     -7.9327  -14.3601      81    0.86  10.0
CMLA     37.7637  -25.5243     -61    0.60  10.0
COCO    -12.1901   96.8349      59    0.69  10.0
CRZF    -46.4300   51.8610     -32    0.55  10.0
HOPE    -54.2800  -36.4800      50    0.76  10.0
MSEY     -4.6737   55.4792      32    1.02  10.0
PAF     -49.3510   70.2130     -77    1.34  10.0
PALK      7.2728   80.7022      26    1.72  10.0
RER     -21.1590   55.7460     -81    0.77  10.0
SACV     14.9702  -23.6085      52    1.02  10.0
SHEL    -15.9588   -5.7457      59    0.83  10.0
TBT      28.6794  -17.9145      17    0.92  10.0
EDM      53.2200 -113.3500       0    0.00  10.0
WALA     49.0500 -113.9100       0    0.00  10.0
NEW      48.2600 -117.1200      71    1.48  10.0
ACTO     43.6090  -80.0620     104    0.60  10.0
ALGO     45.9540  -78.0510     109    0.40  10.0
BANO     45.0200  -77.9280      95    0.70  10.0
BRCO     44.2440  -81.4420      89    0.40  10.0
BUKO     45.4420  -79.3990      76    1.10  10.0
CLPO     45.2460  -76.9640     117    0.70  10.0
CLWO     44.4490  -80.3010     119    0.80  10.0
DELO     44.5180  -77.6190      84    1.40  10.0
ELGO     43.6750  -80.4370      95    0.60  10.0
GACO     45.7030  -75.4780      61    0.50  10.0
HGVO     42.9610  -80.1260      79    0.80  10.0
KGNO     44.2270  -76.4930      95    0.80  10.0
KLBO     45.3570  -80.2130       0    0.00  10.0
KSVO     44.5520  -73.6860      63    0.60  10.0
LINO     44.3540  -78.7800      89    0.90  10.0
MPPO     44.7700  -76.2650     119    0.70  10.0
PECO     43.9340  -76.9940      87    0.70  10.0
PEMO     45.6770  -77.2470     117    0.30  10.0
PKRO     43.9640  -79.0710      95    0.70  10.0
PLIO     41.7510  -82.6280      90    0.60  10.0
PTCO     42.8840  -79.3120      72    0.70  10.0
SADO     44.7690  -79.1420      99    0.80  10.0
STCO     43.2100  -79.1710      80    0.70  10.0
TOBO     45.2260  -81.5230      39    1.20  10.0
TYNO     43.0950  -79.8700      90    0.60  10.0
WLVO     43.9240  -78.3970      87    0.70  10.0
BB01    -28.3070   24.7541      47    0.68  10.0
BB02    -28.3823   24.5913      44    0.65  10.0
BB03    -28.4076   24.6257      45    0.55  10.0
BB04    -28.4043   24.5896      45    0.68  10.0
BB05    -28.4408   24.5801      39    0.73  10.0
BB06    -28.4519   24.6239      50    0.57  10.0
BB07    -28.4161   24.6919      49    0.55  10.0
BB08    -28.4285   24.6286      50    0.53  10.0
BB09    -28.4492   24.6384      51    0.53  10.0
BB11    -28.4667   24.5470      45    0.70  10.0
BB12    -28.5287   24.7110      61    0.53  10.0
BB13    -28.5393   24.7358      56    0.53  10.0
BB14    -28.5404   24.6770      54    0.47  10.0
BB15    -28.6001   24.8973      56    0.38  10.0
BB16    -28.5798   24.5385      54    0.47  10.0
BB17    -28.5590   24.7077      46    0.55  10.0
BB18    -28.6697   24.9364      53    0.23  10.0
BB19    -28.6021   24.8323      54    0.45  10.0
BB22    -28.6294   24.7874      60    0.38  10.0
BB23    -28.6455   24.8236      62    0.33  10.0
BB24    -28.6254   24.6711      59    0.33  10.0
BB25    -28.6717   24.8833      56    0.33  10.0
BB26    -28.6721   24.9682      65    0.15  10.0
BB27    -28.6761   24.5217      54    0.53  10.0
BB28    -28.6901   24.5686      61    0.35  10.0
BB29    -28.7057   24.8438      57    0.35  10.0
BB30    -28.7955   24.8658      40    0.30  10.0
BB31    -28.7934   24.9255      46    0.30  10.0
BB32    -28.8151   24.9779      42    0.25  10.0
SA18    -28.6328   24.3056      59    0.45  10.0
SA19    -28.9056   24.8328      27    0.55  10.0
BOSA    -28.6141   25.2555      33    0.60  10.0
AFIF     23.9300   43.0400     -12    0.10  10.0
HALM     22.8500   44.3200       2    0.10  10.0
RANI     21.3100   42.7800       2    0.20  10.0
RAYN     23.5200   45.5000       4    0.10  10.0
RIYD     24.7200   46.6600      15    0.10  10.0
SODA     18.2900   42.3800     -11    0.10  10.0
TAIF     21.2800   40.3500       4    0.20  10.0
UQSK     25.7900   42.3600      -4    0.20  10.0
38      -13.8003 -115.1204     104    1.98  10.0
39      -12.3700 -114.5249     110    1.10  10.0
42      -15.4100 -115.2035     100    2.18  10.0
44      -16.0020 -115.2491      88    1.68  10.0
46      -14.8500 -118.3703     104    1.23  10.0
47      -15.2121 -117.6006     114    1.28  10.0
MTAN     65.1000   33.3203     -16    2.65  10.0
ALQ      34.9420 -106.4570      41    1.50  10.0
BGY      44.8020   20.5150     279    0.00  10.0
BGY      44.8020   20.5150     248    0.00  10.0
BNI      45.0520    6.6780      -4    1.60  10.0
GFA      34.3380    9.7260     -29    1.90  10.0
MEB      36.3030    2.7300      41    1.50  10.0
VSL      34.4960    9.3780      74    1.80  10.0
FCC      58.7600  -94.0800      29    0.64  10.0
FFC      54.7300 -101.9800      42    0.96  10.0
USK      52.1961 -106.3982      34    1.50  10.0
